"Date","Ring","leaf_p_pool","old_p_pool","new_p_pool"
"2014-05-07",2,0.275597666077489,0.263835840282648,0.0117618257948411
"2014-05-07",3,0.239784395075397,0.228942373148488,0.0108420219269084
"2014-05-07",4,0.208623577255676,0.200254030450209,0.00836954680546703
"2014-05-07",5,0.261506366947083,0.252738753471491,0.00876761347559186
"2014-05-07",6,0.259658081403008,0.246131999877672,0.0135260815253354
"2014-06-12",1,0.212889457864515,0.22016026819871,-0.00727081033419544
"2014-06-12",2,0.269324821755283,0.273873099965487,-0.0045482782102039
"2014-06-12",3,0.241320809139397,0.234072571071789,0.00724823806760757
"2014-06-12",4,0.21810918350483,0.212093102102935,0.00601608140189541
"2014-06-12",5,0.264660494230397,0.266677917897318,-0.00201742366692039
"2014-06-12",6,0.271039531887051,0.26148754559955,0.00955198628750132
"2014-07-03",1,0.214293565029476,0.222250485140413,-0.00795692011093707
"2014-07-03",2,0.260046691564629,0.264519699191569,-0.00447300762693999
"2014-07-03",3,0.238113028594698,0.230355814720048,0.00775721387464987
"2014-07-03",4,0.221533063487435,0.218151187142177,0.0033818763452576
"2014-07-03",5,0.265282445134151,0.262139582598896,0.00314286253525543
"2014-07-03",6,0.276561043983083,0.26266016448027,0.0139008795028127
"2014-08-14",1,0.196958231859132,0.235389912921364,-0.038431681062232
"2014-08-14",2,0.231350129589781,0.265510197781345,-0.0341600681915646
"2014-08-14",3,0.222625898217754,0.234074600827195,-0.0114487026094412
"2014-08-14",4,0.213570252919097,0.231154150508715,-0.0175838975896178
"2014-08-14",5,0.255375852610876,0.268434982527101,-0.0130591299162254
"2014-08-14",6,0.25649738266535,0.290928341219016,-0.0344309585536657
"2014-09-15",1,0.190696004171218,0.214017637204829,-0.023321633033611
"2014-09-15",2,0.213029360453257,0.235087608080873,-0.0220582476276153
"2014-09-15",3,0.207606898326233,0.21961749060532,-0.0120105922790869
"2014-09-15",4,0.205977193537924,0.222002315075158,-0.0160251215372345
"2014-09-15",5,0.246660340130743,0.255779193377911,-0.00911885324716746
"2014-09-15",6,0.244445985725194,0.27149570389335,-0.0270497181681556
"2014-10-16",1,0.172157241685811,0.167408337648743,0.00474890403706856
"2014-10-16",2,0.221551622228407,0.188622168527935,0.0329294537004724
"2014-10-16",3,0.208442492444105,0.183132821178099,0.0253096712660056
"2014-10-16",4,0.199152803851133,0.183905127502837,0.0152476763482959
"2014-10-16",5,0.23250796993375,0.209887102613812,0.0226208673199375
"2014-10-16",6,0.261916414491081,0.140730729460623,0.121185685030458
"2014-11-12",1,0.176582734999683,0.158904020135006,0.0176787148646765
"2014-11-12",2,0.211653339373753,0.191242632549162,0.0204107068245903
"2014-11-12",3,0.198798615884669,0.180225929666213,0.018572686218456
"2014-11-12",4,0.195631436706439,0.183789036585979,0.0118424001204595
"2014-11-12",5,0.23567420111095,0.209099255292549,0.026574945818401
"2014-11-12",6,0.213709756369118,0.191719206058624,0.0219905503104947
"2014-12-16",1,0.190539281133242,0.156750040328358,0.0337892408048844
"2014-12-16",2,0.218097938161451,0.186194023781966,0.0319039143794851
"2014-12-16",3,0.198350514769529,0.176139040736308,0.0222114740332208
"2014-12-16",4,0.200736752064804,0.181737675907293,0.0189990761575101
"2014-12-16",5,0.244798534101647,0.213535811418132,0.0312627226835147
"2014-12-16",6,0.218522740265346,0.156761875507235,0.0617608647581101
"2015-01-13",1,0.209033397967698,0.16634666522178,0.0426867327459178
"2015-01-13",2,0.229668739102029,0.18845632621674,0.0412124128852887
"2015-01-13",3,0.21498535199132,0.150853106391436,0.064132245599884
"2015-01-13",4,0.211288104149523,0.18528461116207,0.026003492987453
"2015-01-13",5,0.261696638193501,0.209320305400418,0.052376332793083
"2015-01-13",6,0.222775351733615,0.162167474191027,0.0606078775425872
"2015-02-11",1,0.248133840422602,0.184665593617811,0.0634682468047911
"2015-02-11",2,0.261969971319609,0.199812289977144,0.0621576813424648
"2015-02-11",3,0.211595689656323,0.14919733199595,0.0623983576603729
"2015-02-11",4,0.273295623030451,0.25189753544814,0.0213980875823109
"2015-02-11",5,0.327860226881632,0.286098586142482,0.0417616407391503
"2015-02-11",6,0.236705830321597,0.183925414852457,0.0527804154691404
"2015-03-12",1,0.281187426252191,0.193261405656704,0.0879260205954873
"2015-03-12",2,0.280459550341206,0.205192895162902,0.0752666551783038
"2015-03-12",3,0.230347898781696,0.169166980749777,0.0611809180319184
"2015-03-12",4,0.27533049269335,0.219437402678554,0.0558930900147961
"2015-03-12",5,0.313609899849142,0.246821967693393,0.0667879321557492
"2015-03-12",6,0.263842088423855,0.210408010045565,0.05343407837829
"2015-04-17",1,0.264950876467036,0.255411028144715,0.00953984832232121
"2015-04-17",2,0.258836584720218,0.24655789453976,0.0122786901804587
"2015-04-17",3,0.226661228604826,0.205853677395636,0.0208075512091904
"2015-04-17",4,0.251583974754689,0.238397000871856,0.013186973882833
"2015-04-17",5,0.260934019149978,0.254796863689712,0.00613715546026567
"2015-04-17",6,0.26985252454699,0.242465419774412,0.0273871047725774
"2015-06-09",1,0.236790189075269,0.246650316736029,-0.00986012766075921
"2015-06-09",2,0.233845226529279,0.236451692990314,-0.00260646646103425
"2015-06-09",3,0.210423358374028,0.207149373245315,0.0032739851287135
"2015-06-09",4,0.231213294169255,0.24107638508894,-0.00986309091968507
"2015-06-09",5,0.22904959010018,0.239988536047195,-0.0109389459470155
"2015-06-09",6,0.258644249962315,0.2521619297877,0.00648232017461523
"2015-08-24",1,0.199457691747267,0.205777679317615,-0.00631998757034811
"2015-08-24",2,0.203515325517106,0.201923421754163,0.00159190376294341
"2015-08-24",3,0.182058399803626,0.187136948995841,-0.00507854919221425
"2015-08-24",4,0.212360869038507,0.19214214008628,0.0202187289522268
"2015-08-24",5,0.201862671437364,0.19178766694996,0.0100750044874039
"2015-08-24",6,0.22602815121099,0.226554881201378,-0.00052672999038803
"2015-09-11",1,0.182266254063987,0.174389528477667,0.0078767255863198
"2015-09-11",2,0.191698105546866,0.181298869462927,0.0103992360839393
"2015-09-11",3,0.163746220504697,0.160902761052225,0.00284345945247212
"2015-09-11",4,0.199950864530249,0.191514997132046,0.00843586739820322
"2015-09-11",5,0.189331850201221,0.178517424008574,0.0108144261926472
"2015-09-11",6,0.196866280271499,0.197473288850011,-0.000607008578512148
"2015-10-16",1,0.21632119535944,0.0944460191520828,0.121875176207357
"2015-10-16",2,0.235744905920708,0.0981291232608984,0.137615782659809
"2015-10-16",3,0.182074938118551,0.0823952812436241,0.0996796568749268
"2015-10-16",4,0.221210449245348,0.137387638434186,0.0838228108111626
"2015-10-16",5,0.211411844875197,0.0853933720663519,0.126018472808845
"2015-10-16",6,0.246445794167992,0.0251635188403105,0.221282275327681
"2015-11-23",1,0.19216614148345,0.147292957206666,0.0448731842767839
"2015-11-23",2,0.221462506836966,0.1496406662243,0.0718218406126668
"2015-11-23",3,0.167881882946087,0.110634928842154,0.057246954103933
"2015-11-23",4,0.231049627911913,0.168973680255786,0.0620759476561265
"2015-11-23",5,0.207520313321688,0.139449086288851,0.0680712270328375
"2015-11-23",6,0.183693291513281,0.154268001452015,0.029425290061266
"2015-12-17",1,0.203828498107024,0.149000620370253,0.0548278777367707
"2015-12-17",2,0.233566126086726,0.164583877884439,0.0689822482022872
"2015-12-17",3,0.170997907863387,0.117399219460937,0.05359868840245
"2015-12-17",4,0.248998787639491,0.189587405661013,0.0594113819784777
"2015-12-17",5,0.216177732421548,0.151385582293408,0.0647921501281393
"2015-12-17",6,0.188532397864112,0.14641457725693,0.0421178206071829
"2016-01-20",1,0.212361998864848,0.160393189286355,0.0519688095784939
"2016-01-20",2,0.245395680450376,0.181370227791075,0.0640254526593014
"2016-01-20",3,0.181341767927085,0.117101798019091,0.0642399699079943
"2016-01-20",4,0.263250259521746,0.218386496418687,0.0448637631030587
"2016-01-20",5,0.22046924315685,0.169461661290904,0.051007581865946
"2016-01-20",6,0.192886556689798,0.154640717209309,0.0382458394804882
"2016-02-22",1,0.204625952139013,0.151044512389405,0.0535814397496079
"2016-02-22",2,0.271007138284696,0.18898590922669,0.0820212290580054
"2016-02-22",3,0.206407116217254,0.149956983590596,0.0564501326266589
"2016-02-22",4,0.268942287317481,0.19605164023671,0.0728906470807712
"2016-02-22",5,0.347351945588127,0.294492941684659,0.0528590039034684
"2016-02-22",6,0.286577541497158,0.23032435100362,0.0562531904935385
"2016-03-10",1,0.221795212625454,0.195084421409432,0.0267107912160221
"2016-03-10",2,0.285074187987089,0.25075779546788,0.0343163925192089
"2016-03-10",3,0.21903626802646,0.186610130068264,0.0324261379581956
"2016-03-10",4,0.280803790530261,0.253201687203179,0.0276021033270813
"2016-03-10",5,0.352803988860557,0.304153423945122,0.048650564915435
"2016-03-10",6,0.309803091853622,0.276533042326831,0.0332700495267911
"2016-04-05",1,0.250420984062579,0.221190810788506,0.0292301732740726
"2016-04-05",2,0.318191721768233,0.277754855242414,0.0404368665258186
"2016-04-05",3,0.234659447035287,0.205050054113904,0.0296093929213839
"2016-04-05",4,0.297890979365145,0.276908726563251,0.0209822528018944
"2016-04-05",5,0.345777934532983,0.323696944279457,0.0220809902535258
"2016-04-05",6,0.343186195330722,0.289537228597748,0.0536489667329742
"2016-05-13",1,0.278347876351911,0.255891599747667,0.0224562766042445
"2016-05-13",2,0.352430831440015,0.313016538647852,0.0394142927921632
"2016-05-13",3,0.259710789282518,0.245577196603079,0.0141335926794386
"2016-05-13",4,0.284167812422554,0.286196981912102,-0.0020291694895482
"2016-05-13",5,0.319977915370584,0.313028869974067,0.0069490453965164
"2016-05-13",6,0.364974406014309,0.346663913863464,0.0183104921508446
"2016-06-28",1,0.287183907282184,0.284546679053962,0.00263722822822196
"2016-06-28",2,0.330724901017356,0.297812145314819,0.0329127557025368
"2016-06-28",3,0.265047369654891,0.26908527764771,-0.00403790799281941
"2016-06-28",4,0.249907950377742,0.249309874258785,0.000598076118957779
"2016-06-28",5,0.372070183059602,0.392758034525265,-0.0206878514656635
"2016-06-28",6,0.313137459951447,0.308525946296106,0.00461151365534134
"2016-07-26",1,0.264712463661836,0.274401167180305,-0.00968870351846887
"2016-07-26",2,0.32652795451138,0.31967877437987,0.00684918013150982
"2016-07-26",3,0.249842501892242,0.253773088303764,-0.00393058641152249
